,title,rating,ratingLevel,ratingDescription,release year,user rating score,user rating size,Movie or Show
922,An American Tail: The Mystery of the Night Monster,G,General Audiences. Suitable for all ages.,35,1999,,82,Movie
923,Batched,G,General Audiences. Suitable for all ages.,35,2000,,82,Movie
924,An American Tail: Fievel Goes West,G,General Audiences. Suitable for all ages.,35,1991,,82,Movie
925,Winnie the Pooh: Springtime with Roo,G,General Audiences. Suitable for all ages.,35,2004,,82,Movie
926,The Last Unicorn,G,General Audiences. Suitable for all ages.,35,1982,,82,Movie
927,The Iron Giant,PG,fantasy action and mild language,60,1999,83.0,80,Movie
928,Mulan 2,G,General Audiences. Suitable for all ages.,35,2004,85.0,80,Movie
929,Pooh's Heffalump Movie,G,General Audiences. Suitable for all ages.,35,2005,,82,Movie
930,Kronk's New Groove,G,General Audiences. Suitable for all ages.,35,2005,,82,Movie
931,Corpse Bride,PG,"some scary images and action, and brief mild language",60,2005,91.0,80,Movie
932,Brother Bear 2,G,General Audiences. Suitable for all ages.,35,2006,57.0,80,Movie
933,The Smurfs and the Magic Flute,G,General Audiences. Suitable for all ages.,35,1976,,82,Movie
934,Jetsons: The Movie,G,General Audiences. Suitable for all ages.,35,1990,,82,Movie
935,We're Back! A Dinosaur's Story,G,General Audiences. Suitable for all ages.,35,1993,,82,Movie
936,Ernest & Celestine,PG,some scary moments,60,2012,,82,Movie
941,The Pirate Fairy,G,General Audiences. Suitable for all ages.,35,2014,57.0,80,Movie
942,Underdogs,PG,Parental guidance suggested. May not be suitable for children.,60,2013,,82,Movie
943,The Boxcar Children,G,General Audiences. Suitable for all ages.,35,2014,,82,Movie
944,Ribbit,PG,some peril,60,2014,,82,Movie
945,Yellowbird,PG,Parental guidance suggested. May not be suitable for children.,60,2014,,82,Movie
947,The Land Before Time XIV: Journey of the Brave,G,General Audiences. Suitable for all ages.,35,2016,,82,Movie
948,Quackerz,PG,"rude and suggestive humor, and some action",60,2016,,82,Movie
949,Growing Up Wild,G,,35,2016,80.0,80,Movie
950,Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81.0,80,Movie
951,Mr. Magoo,PG,mild language and action sequences,60,1997,,82,Movie
952,Flubber,PG,slapstick action and mild language,60,1997,83.0,80,Movie
953,Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93.0,80,Movie
954,Antz,PG,moderate adult language and intense action,60,1998,80.0,80,Movie
955,Babe: Pig in the City,G,General Audiences. Suitable for all ages.,35,1998,,82,Movie
956,Paulie,PG,Parental guidance suggested. May not be suitable for children.,60,1998,,82,Movie
957,The Road to El Dorado,PG,mild thematic material and language,60,2000,91.0,80,Movie
958,Air Bud: World Pup,G,General Audiences. Suitable for all ages.,35,2000,,82,Movie
959,An American Tail,G,General Audiences. Suitable for all ages.,35,1986,67.0,80,Movie
960,Harry and the Hendersons,PG,Parental guidance suggested. May not be suitable for children.,60,1987,58.0,80,Movie
961,Cats & Dogs,PG,animal action and humor,60,2001,,82,Movie
962,Baby's Day Out,PG,mild language and comic action,60,1994,71.0,80,Movie
963,Balto 2: Wolf Quest,G,General Audiences. Suitable for all ages.,35,2001,,82,Movie
964,Balto,G,General Audiences. Suitable for all ages.,35,1995,64.0,80,Movie
965,Back to the Secret Garden,G,General Audiences. Suitable for all ages.,35,2002,,82,Movie
966,Blank Check,PG,Parental guidance suggested. May not be suitable for children.,60,1994,93.0,80,Movie
967,Heavyweights,PG,some rude language and pranks,60,1995,74.0,80,Movie
968,Inspector Gadget 2,G,General Audiences. Suitable for all ages.,35,2003,,82,Movie
969,Air Bud: Spikes Back,G,General Audiences. Suitable for all ages.,35,2003,,82,Movie
970,Annie,PG,adult content and mld violence,60,1982,68.0,80,Movie
971,An American Tail: Fievel Goes West,G,General Audiences. Suitable for all ages.,35,1991,,82,Movie
972,D2: The Mighty Ducks,PG,some mild language and rough hockey action,60,1994,70.0,80,Movie
973,"Honey, I Shrunk the Kids",PG,Parental guidance suggested. May not be suitable for children.,60,1989,80.0,80,Movie
974,The Iron Giant,PG,fantasy action and mild language,60,1999,83.0,80,Movie
975,The Fox and the Hound 2,G,General Audiences. Suitable for all ages.,35,2006,,82,Movie
